timestamp_s;topic;value
1781508673.9311094;left_wheel_steps;0
1781508673.931352;right_wheel_steps;0
1781508674.9311576;left_wheel_steps;0
1781508674.9314225;right_wheel_steps;0
1781508675.931156;left_wheel_steps;0
1781508675.9314127;right_wheel_steps;0
1781508676.931118;left_wheel_steps;0
1781508676.9313703;right_wheel_steps;0
1781508677.9311504;left_wheel_steps;0
1781508677.9314075;right_wheel_steps;0
1781508678.9311256;left_wheel_steps;0
1781508678.931389;right_wheel_steps;0
1781508679.9311833;left_wheel_steps;0
1781508679.9314442;right_wheel_steps;0
1781508680.9311566;left_wheel_steps;0
1781508680.9314218;right_wheel_steps;0
1781508681.9311385;left_wheel_steps;0
1781508681.9313972;right_wheel_steps;0
1781508682.9311213;left_wheel_steps;0
1781508682.9313686;right_wheel_steps;0
1781508683.9311395;left_wheel_steps;0
1781508683.931404;right_wheel_steps;0
1781508684.9311464;left_wheel_steps;0
1781508684.9314096;right_wheel_steps;0
1781508685.9311128;left_wheel_steps;0
1781508685.9313598;right_wheel_steps;0
1781508686.9311652;left_wheel_steps;0
1781508686.9314234;right_wheel_steps;0
1781508687.9312537;left_wheel_steps;0
1781508687.9314835;right_wheel_steps;0
1781508688.9312303;left_wheel_steps;0
1781508688.9314616;right_wheel_steps;0
1781508689.9312696;left_wheel_steps;0
1781508689.9315317;right_wheel_steps;0
