"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1765972946.1687725","1765972946.1686392","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972946.7647252","1765972946.7646065","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 0","JoystickBluetooth"
"1765972946.7650092","1765972946.7648683","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 0","mainNode"
"1765972946.7667084","1765972946.7665882","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972947.0689018","1765972947.0687823","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972947.1395445","1765972947.1394467","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972947.1398811","1765972947.1397676","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972947.1415286","1765972947.1414106","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972947.214622","1765972947.214513","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 10","JoystickBluetooth"
"1765972947.2150414","1765972947.2148857","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 10","mainNode"
"1765972947.4438565","1765972947.4437077","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972947.4438927","1765972947.443715","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972947.5521595","1765972947.552017","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972947.5524662","1765972947.552363","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972947.7461398","1765972947.7460012","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972947.7461765","1765972947.746063","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972948.0021555","1765972948.0020444","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 10","JoystickBluetooth"
"1765972948.0024917","1765972948.002386","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 10","mainNode"
"1765972948.0485454","1765972948.048398","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972948.0488892","1765972948.04854","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972948.3509421","1765972948.350839","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972948.4896579","1765972948.4895494","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972948.4899993","1765972948.4898937","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972948.4916744","1765972948.4915497","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972948.7939632","1765972948.79383","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972949.6520994","1765972949.6519694","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 10","JoystickBluetooth"
"1765972949.6523848","1765972949.6522958","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 10","mainNode"
"1765972949.6539702","1765972949.6538491","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972949.7647214","1765972949.764611","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 9","JoystickBluetooth"
"1765972949.7649977","1765972949.7648907","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 9","mainNode"
"1765972949.8020983","1765972949.8019974","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 0","JoystickBluetooth"
"1765972949.8023803","1765972949.8022828","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 0","mainNode"
"1765972949.9562542","1765972949.9560812","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972949.9562962","1765972949.9561067","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972950.25849","1765972950.258325","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972950.2585287","1765972950.2583642","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972950.5607538","1765972950.560619","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972952.2396975","1765972952.239598","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972952.2400205","1765972952.2399178","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972952.2416575","1765972952.2415357","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972952.2772858","1765972952.2771745","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 10","JoystickBluetooth"
"1765972952.2775888","1765972952.2774854","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 10","mainNode"
"1765972952.5439231","1765972952.5437858","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972952.54405","1765972952.5439007","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972952.846315","1765972952.8461683","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972953.064721","1765972953.0645728","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972953.0650167","1765972953.0649176","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972953.066588","1765972953.0664675","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972953.2147365","1765972953.2146301","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 0","JoystickBluetooth"
