Sujeto,Exp,Modo,Logger,Fase,Tini,Tfinal,Duracion,Jerk,Distancia,Mv,Me,Mo,RT,Ec,Eo
SUJ3,0,2,False,0.0,0.0,1783416933.5578003,1783416933.5578003,172.88811552700633,248.43143505923794,0.30758261222465355,2.301599351708453,2.301599351708453,0,0,0
SUJ4;0;1;False;0.0;0.0;1783929462.8579595;1783929462.8579595;80.08798978962054;234.26570818486942;3.2573343716680423;2.3209361076931936;-2.22629373822998;0;0;0
SUJ4;0;1;False;1.0;1783929468.3565893;1783929493.856855;25.50026559829712;38.28196554147731;277.1170319798342;4.090485915391938;11.657253181011098;-11.657253181011098;0;0;0
SUJ4;0;1;False;2.0;1783929501.8565934;1783929512.8565538;10.99996042251587;105.6946170753492;187.60734529241807;0.007696804659089227;14.871371481787287;-14.871371481787287;0;0;0
SUJ4;0;1;False;3.0;1783929516.8565617;1783929549.357318;32.50075626373291;84.11333191816092;230.98988384517168;23.13072084743368;21.59410471149551;5.8694318029230415;0;0;0
SUJ4;0;1;False;4.0;1783929554.358337;1783929563.8573248;9.498987913131714;145.79349302701678;154.84910189544092;0.016086366730705026;3.442491934355761;-3.442491934355761;0;0;0
SUJ4;0;1;False;5.0;1783929566.35749;1783929627.8573682;61.49987816810608;52.089495583891676;596.642708789809;32.74392798498165;30.783494654514467;-4.557447714382028;0;0;0
SUJ4;0;1;False;6.0;1783929630.358318;1783929646.8573103;16.498992204666138;70.2766677722919;85.61411179696475;0.2557488334135781;12.913130862047302;-12.913130862047302;0;0;0
SUJ4;0;1;False;7.0;1783929652.356583;1783929664.3573203;12.000737190246582;77.4805166275671;133.6005115838881;0.0033715584628208136;6.4483922609303015;-6.4483922609303015;0;0;0
SUJ4;0;1;False;8.0;1783929666.8566177;1783929686.3583214;19.50170373916626;85.54270070788188;368.3088987335816;4.238516064932441;5.159422878151885;4.627568583558502;0;0;0
SUJ4;0;1;False;9.0;1783929690.3581572;1783929698.8573253;8.499168157577515;106.61089438795844;8.853579296480323;4.38274895010701;6.787378565015946;-6.086021675290949;0;0;0
SUJ4;0;1;False;10.0;1783929701.8566089;1783929703.8580894;2.0014805793762207;-1.0;0.0;;11.264856616327037;11.264856616327037;0;0;0
SUJ4;0;2;True;0.0;1783929781.3571756;1783929793.3578684;12.00069284439087;68.02838269771831;288.1840061004346;0.8912391058528037;1.6837140397169044;1.6837140397169044;0;0;0
SUJ4;0;2;True;1.0;1783929795.859414;1783929809.8571253;13.997711181640625;76.24623091170291;309.9638111697762;0.8366881596279157;3.3967655019199747;-3.3967655019199747;0;0;0
SUJ4;0;2;True;2.0;1783929811.8580189;1783929820.8571208;8.999101877212524;234.45951871536244;178.57669441000817;0.95656804866924;1.2187819664238924;0.9084214598781111;0;0;0
SUJ4;0;2;True;3.0;1783929833.357142;1783929843.3570323;9.999890327453613;171.20769154452057;226.56309419693153;0.8370897962026632;8.134363046556626;8.134363046556626;0;0;0
SUJ4;0;2;True;4.0;1783929846.8571637;1783929859.8570962;12.999932527542114;98.35960322901421;301.4643750451551;0.6871265089353135;1.1063499820714435;1.1063499820714435;0;0;0
SUJ4;0;2;True;5.0;1783929867.8570848;1783929882.3571467;14.500061988830566;125.87190145219235;312.0001344079667;2.5788272090033777;12.087766394919457;-12.087766394919457;0;0;0
SUJ4;0;2;True;6.0;1783929884.3571978;1783929894.8589022;10.501704454421997;83.84294561023957;139.88655288438915;3.2610096104357735;1.8982005006968257;-1.041938692789582;0;0;0
SUJ4;0;2;True;7.0;1783929896.8570774;1783929903.8570426;6.999965190887451;116.83517071509999;139.2668023336355;0.22501546724038077;0.3852513781058608;-0.3852513781058608;0;0;0
SUJ4;0;2;True;8.0;1783929906.3571937;1783929919.8570728;13.499879121780396;122.61941138937222;268.7946674411426;2.7686045550237353;1.4437183796044124;-1.2550680569556143;0;0;0
SUJ4;0;2;True;9.0;1783929921.8592727;1783929943.3587315;21.49945878982544;45.638337458015464;78.44271256681567;1.7609680124692326;1.8600311453352865;-1.8600311453352865;0;0;0
SUJ4;0;2;True;10.0;1783929948.3584528;1783929958.3571098;9.998656988143921;111.09733852864738;216.73562117783837;0.6904343665667131;8.375664683402908;8.375664683402908;0;0;0
SUJ4;0;2;False;0.0;0.0;1783929793.356617;1783929793.356617;86.95356982165578;288.18400610043454;0.9930050180790339;1.7138801660210645;1.7138801660210645;0;0;0
SUJ4;0;2;False;1.0;1783929795.8573987;1783929809.8566034;13.999204635620117;76.29652991498209;309.9638111697762;0.8366881596279157;3.3967655019199747;-3.3967655019199747;0;0;0
SUJ4;0;2;False;2.0;1783929811.8567798;1783929820.858319;9.00153923034668;234.45932368196105;178.57669441000817;0.95656804866924;1.2187819664238924;0.9084214598781111;0;0;0
